Node: 0x7f7d52705e70, position: 208, content: -372862213
Node: 0x7f7d527062d0, position: 288, content: 332430219
Node: 0x7f7d527062f0, position: 478, content: 1992247925
Node: 0x7f7d52706310, position: 120, content: -1155299814
Node: 0x7f7d52706330, position: 387, content: 1259382191
Node: 0x7f7d52706350, position: 330, content: 675067428
Node: 0x7f7d52706370, position: 70, content: -1589457953
Node: 0x7f7d52706390, position: 260, content: 124677750
Node: 0x7f7d527063b0, position: 158, content: -739465250
Node: 0x7f7d527063d0, position: 51, content: -1766238235
Node: 0x7f7d527063f0, position: 275, content: 252870481
Node: 0x7f7d52706410, position: 132, content: -1044756759
Node: 0x7f7d52706430, position: 261, content: 136375370
Node: 0x7f7d52706450, position: 68, content: -1600609960
Node: 0x7f7d52706470, position: 360, content: 949636232
Node: 0x7f7d52706490, position: 272, content: 226938827
Node: 0x7f7d527064b0, position: 297, content: 425145526
Node: 0x7f7d527064d0, position: 5, content: -2097631245
Node: 0x7f7d527064f0, position: 63, content: -1648028793
Node: 0x7f7d52706510, position: 497, content: 2127549336
Node: 0x7f7d52706530, position: 284, content: 296866922
Node: 0x7f7d52706550, position: 225, content: -221309051
Node: 0x7f7d52706570, position: 361, content: 954973753
Node: 0x7f7d52706590, position: 244, content: -81916161
Node: 0x7f7d527065b0, position: 238, content: -136254363
Node: 0x7f7d527065d0, position: 374, content: 1085642691
Node: 0x7f7d527065f0, position: 98, content: -1262238823
Node: 0x7f7d52706610, position: 88, content: -1337931773
Node: 0x7f7d52706630, position: 53, content: -1756763223
Node: 0x7f7d52706650, position: 339, content: 728822267
Node: 0x7f7d52706670, position: 413, content: 1477137704
Node: 0x7f7d52706690, position: 277, content: 269784008
Node: 0x7f7d527066b0, position: 269, content: 213250929
Node: 0x7f7d527066d0, position: 197, content: -474779052
Node: 0x7f7d527066f0, position: 350, content: 899237841
Node: 0x7f7d52706710, position: 116, content: -1173580336
Node: 0x7f7d52706730, position: 311, content: 536777665
Node: 0x7f7d52706750, position: 314, content: 563647806
Node: 0x7f7d52706770, position: 469, content: 1924744567
Node: 0x7f7d52706790, position: 92, content: -1324298515
Node: 0x7f7d527067b0, position: 274, content: 243053493
Node: 0x7f7d527067d0, position: 86, content: -1382761938
Node: 0x7f7d527067f0, position: 216, content: -294333493
Node: 0x7f7d52706810, position: 296, content: 412485823
Node: 0x7f7d52706830, position: 494, content: 2098097664
Node: 0x7f7d52706850, position: 252, content: -4438549
Node: 0x7f7d52706870, position: 434, content: 1621516233
Node: 0x7f7d52706890, position: 251, content: -8052362
Node: 0x7f7d527068b0, position: 42, content: -1818385665
Node: 0x7f7d527068d0, position: 444, content: 1732299177
Node: 0x7f7d527068f0, position: 139, content: -955301775
Node: 0x7f7d52706910, position: 317, content: 588620299
Node: 0x7f7d52706930, position: 20, content: -1954417739
Node: 0x7f7d52706950, position: 442, content: 1719876187
Node: 0x7f7d52706970, position: 425, content: 1561212697
Node: 0x7f7d52706990, position: 379, content: 1150141142
Node: 0x7f7d527069b0, position: 109, content: -1207619819
Node: 0x7f7d527069d0, position: 245, content: -40778655
Node: 0x7f7d527069f0, position: 232, content: -182756282
Node: 0x7f7d52706a10, position: 174, content: -655272966
Node: 0x7f7d52706a30, position: 463, content: 1878028875
Node: 0x7f7d52706a50, position: 192, content: -544142819
Node: 0x7f7d52706a70, position: 438, content: 1672156213
Node: 0x7f7d52706a90, position: 165, content: -703157968
Node: 0x7f7d52706ab0, position: 146, content: -850942658
Node: 0x7f7d52706ad0, position: 222, content: -239945806
Node: 0x7f7d52706af0, position: 397, content: 1356091349
Node: 0x7f7d52706b10, position: 125, content: -1115628225
Node: 0x7f7d52706b30, position: 74, content: -1544855710
Node: 0x7f7d52706b50, position: 420, content: 1517860696
Node: 0x7f7d52706b70, position: 43, content: -1811631983
Node: 0x7f7d52706b90, position: 373, content: 1081810571
Node: 0x7f7d52706bb0, position: 206, content: -399030776
Node: 0x7f7d52706bd0, position: 151, content: -787361422
Node: 0x7f7d52706bf0, position: 144, content: -888552111
Node: 0x7f7d52706c10, position: 114, content: -1190409441
Node: 0x7f7d52706c30, position: 386, content: 1253036200
Node: 0x7f7d52706c50, position: 491, content: 2092932577
Node: 0x7f7d52706c70, position: 449, content: 1793902937
Node: 0x7f7d52706c90, position: 477, content: 1979849670
Node: 0x7f7d52706cb0, position: 138, content: -963693196
Node: 0x7f7d52706cd0, position: 407, content: 1438069748
Node: 0x7f7d52706cf0, position: 113, content: -1191156052
Node: 0x7f7d52706d10, position: 372, content: 1081401690
Node: 0x7f7d52706d30, position: 325, content: 653795895
Node: 0x7f7d52706d50, position: 353, content: 911104986
Node: 0x7f7d52706d70, position: 185, content: -571766126
Node: 0x7f7d52706d90, position: 482, content: 2030926006
Node: 0x7f7d52706db0, position: 366, content: 1045997829
Node: 0x7f7d52706dd0, position: 338, content: 725549215
Node: 0x7f7d52706df0, position: 474, content: 1966894960
Node: 0x7f7d52706e10, position: 149, content: -821499736
Node: 0x7f7d52706e30, position: 177, content: -619178076
Node: 0x7f7d52706e50, position: 382, content: 1193277838
Node: 0x7f7d52706e70, position: 191, content: -548806312
Node: 0x7f7d52706e90, position: 237, content: -138986480
Node: 0x7f7d52706eb0, position: 435, content: 1628308403
Node: 0x7f7d52706ed0, position: 250, content: -10723679
Node: 0x7f7d52706ef0, position: 179, content: -609109400
Node: 0x7f7d52706f10, position: 409, content: 1442050329
Node: 0x7f7d52706f30, position: 236, content: -150868872
Node: 0x7f7d52706f50, position: 439, content: 1679531111
Node: 0x7f7d52706f70, position: 217, content: -285970358
Node: 0x7f7d52706f90, position: 483, content: 2041475038
Node: 0x7f7d52706fb0, position: 266, content: 202227334
Node: 0x7f7d52706fd0, position: 195, content: -504778986
Node: 0x7f7d52706ff0, position: 126, content: -1098915368
Node: 0x7f7d52707010, position: 445, content: 1738362789
Node: 0x7f7d52707030, position: 32, content: -1888972883
Node: 0x7f7d52707050, position: 33, content: -1880349954
Node: 0x7f7d52707070, position: 441, content: 1705753341
Node: 0x7f7d52707090, position: 299, content: 429813240
Node: 0x7f7d527070b0, position: 346, content: 854616182
Node: 0x7f7d527070d0, position: 123, content: -1130052414
Node: 0x7f7d527070f0, position: 137, content: -971246403
Node: 0x7f7d52707110, position: 3, content: -2102721464
Node: 0x7f7d52707130, position: 300, content: 441876409
Node: 0x7f7d52707150, position: 61, content: -1683093661
Node: 0x7f7d52707170, position: 160, content: -738241090
Node: 0x7f7d52707190, position: 349, content: 892140044
Node: 0x7f7d527071b0, position: 499, content: 2138001594
Node: 0x7f7d527071d0, position: 176, content: -635537900
Node: 0x7f7d527071f0, position: 182, content: -603293359
Node: 0x7f7d52707210, position: 308, content: 514120911
Node: 0x7f7d52707230, position: 270, content: 221984700
Node: 0x7f7d52707250, position: 307, content: 504143954
Node: 0x7f7d52707270, position: 470, content: 1927010171
Node: 0x7f7d52707290, position: 34, content: -1877350726
Node: 0x7f7d527072b0, position: 443, content: 1722801542
Node: 0x7f7d527072d0, position: 248, content: -35729918
Node: 0x7f7d527072f0, position: 69, content: -1593012071
Node: 0x7f7d52707310, position: 408, content: 1439474422
Node: 0x7f7d52707330, position: 85, content: -1404427455
Node: 0x7f7d52707350, position: 281, content: 295196805
Node: 0x7f7d52707370, position: 331, content: 676534241
Node: 0x7f7d52707390, position: 424, content: 1549160590
Node: 0x7f7d527073b0, position: 436, content: 1635629062
Node: 0x7f7d527073d0, position: 381, content: 1178842733
Node: 0x7f7d527073f0, position: 84, content: -1426557558
Node: 0x7f7d52707410, position: 13, content: -2046376801
Node: 0x7f7d52707430, position: 130, content: -1069027806
Node: 0x7f7d52707450, position: 262, content: 149962902
Node: 0x7f7d52707470, position: 166, content: -702190520
Node: 0x7f7d52707490, position: 402, content: 1424743886
Node: 0x7f7d527074b0, position: 380, content: 1172325977
Node: 0x7f7d527074d0, position: 433, content: 1603848358
Node: 0x7f7d527074f0, position: 320, content: 594505150
Node: 0x7f7d52707510, position: 355, content: 925283091
Node: 0x7f7d52707530, position: 395, content: 1326685154
Node: 0x7f7d52707550, position: 148, content: -824892514
Node: 0x7f7d52707570, position: 471, content: 1934160510
Node: 0x7f7d52707590, position: 301, content: 456237846
Node: 0x7f7d527075b0, position: 118, content: -1163716434
Node: 0x7f7d527075d0, position: 241, content: -92015706
Node: 0x7f7d527075f0, position: 210, content: -344652460
Node: 0x7f7d52707610, position: 190, content: -549825045
Node: 0x7f7d52707630, position: 332, content: 680943501
Node: 0x7f7d52707650, position: 143, content: -891132829
Node: 0x7f7d52707670, position: 484, content: 2056478741
Node: 0x7f7d52707690, position: 201, content: -431824658
Node: 0x7f7d527076b0, position: 202, content: -415445188
Node: 0x7f7d527076d0, position: 365, content: 1039636235
Node: 0x7f7d527076f0, position: 313, content: 559936705
Node: 0x7f7d52707710, position: 110, content: -1207524995
Node: 0x7f7d52707730, position: 7, content: -2093188983
Node: 0x7f7d52707750, position: 11, content: -2069388049
Node: 0x7f7d52707770, position: 412, content: 1466489080
Node: 0x7f7d52707790, position: 460, content: 1849412894
Node: 0x7f7d527077b0, position: 16, content: -1991044194
Node: 0x7f7d527077d0, position: 358, content: 943083303
Node: 0x7f7d527077f0, position: 203, content: -413973961
Node: 0x7f7d52707810, position: 447, content: 1743248451
Node: 0x7f7d52707830, position: 416, content: 1501857293
Node: 0x7f7d52707850, position: 152, content: -780375130
Node: 0x7f7d52707870, position: 162, content: -717722160
Node: 0x7f7d52707890, position: 406, content: 1434743673
Node: 0x7f7d527078b0, position: 30, content: -1908943826
Node: 0x7f7d527078d0, position: 335, content: 701420349
Node: 0x7f7d527078f0, position: 475, content: 1967677448
Node: 0x7f7d52707910, position: 377, content: 1103172980
Node: 0x7f7d52707930, position: 233, content: -178020104
Node: 0x7f7d52707950, position: 473, content: 1953546676
Node: 0x7f7d52707970, position: 357, content: 928590876
Node: 0x7f7d52707990, position: 227, content: -207195818
Node: 0x7f7d527079b0, position: 410, content: 1444549470
Node: 0x7f7d527079d0, position: 27, content: -1927253735
Node: 0x7f7d527079f0, position: 398, content: 1357368888
Node: 0x7f7d52707a10, position: 94, content: -1308270598
Node: 0x7f7d52707a30, position: 164, content: -708634610
Node: 0x7f7d52707a50, position: 347, content: 875162369
Node: 0x7f7d52707a70, position: 429, content: 1573613764
Node: 0x7f7d52707a90, position: 96, content: -1299313418
Node: 0x7f7d52707ab0, position: 235, content: -150999556
Node: 0x7f7d52707ad0, position: 93, content: -1321461538
Node: 0x7f7d52707af0, position: 256, content: 68930208
Node: 0x7f7d52707b10, position: 4, content: -2102256972
Node: 0x7f7d52707b30, position: 396, content: 1336676918
Node: 0x7f7d52707b50, position: 66, content: -1629883817
Node: 0x7f7d52707b70, position: 38, content: -1850425161
Node: 0x7f7d52707b90, position: 258, content: 96163468
Node: 0x7f7d52707bb0, position: 73, content: -1550363580
Node: 0x7f7d52707bd0, position: 351, content: 901898433
Node: 0x7f7d52707bf0, position: 493, content: 2097891867
Node: 0x7f7d52707c10, position: 23, content: -1938816740
Node: 0x7f7d52707c30, position: 431, content: 1597197784
Node: 0x7f7d52707c50, position: 479, content: 1992569761
Node: 0x7f7d52707c70, position: 326, content: 656253256
Node: 0x7f7d52707c90, position: 60, content: -1695621904
Node: 0x7f7d52707cb0, position: 293, content: 365765389
Node: 0x7f7d52707cd0, position: 319, content: 591437654
Node: 0x7f7d52707cf0, position: 480, content: 1999628690
Node: 0x7f7d52707d10, position: 321, content: 618660162
Node: 0x7f7d52707d30, position: 430, content: 1592088865
Node: 0x7f7d52707d50, position: 495, content: 2121413754
Node: 0x7f7d52707d70, position: 310, content: 527457695
Node: 0x7f7d52707d90, position: 231, content: -186881832
Node: 0x7f7d52707db0, position: 234, content: -154797178
Node: 0x7f7d52707dd0, position: 159, content: -738801794
Node: 0x7f7d52707df0, position: 41, content: -1821899528
Node: 0x7f7d52707e10, position: 214, content: -304160783
Node: 0x7f7d52707e30, position: 204, content: -405228861
Node: 0x7f7d52707e50, position: 156, content: -755065980
Node: 0x7f7d52707e70, position: 404, content: 1433339067
Node: 0x7f7d52707e90, position: 450, content: 1801169884
Node: 0x7f7d52707eb0, position: 456, content: 1840295902
Node: 0x7f7d52707ed0, position: 414, content: 1487884119
Node: 0x7f7d52707ef0, position: 1, content: -2110360798
Node: 0x7f7d52707f10, position: 367, content: 1047890901
Node: 0x7f7d52707f30, position: 446, content: 1741688815
Node: 0x7f7d52707f50, position: 0, content: -2138004937
Node: 0x7f7d52707f70, position: 6, content: -2097123234
Node: 0x7f7d52707f90, position: 363, content: 997302589
Node: 0x7f7d52707fb0, position: 257, content: 69734580
Node: 0x7f7d52707fd0, position: 124, content: -1121920087
Node: 0x7f7d52707ff0, position: 362, content: 978080687
Node: 0x7f7d52708010, position: 184, content: -600818413
Node: 0x7f7d52708030, position: 50, content: -1766761546
Node: 0x7f7d52708050, position: 467, content: 1906038859
Node: 0x7f7d52708070, position: 268, content: 211311685
Node: 0x7f7d52708090, position: 57, content: -1717764989
Node: 0x7f7d527080b0, position: 181, content: -604756034
Node: 0x7f7d527080d0, position: 378, content: 1141923459
Node: 0x7f7d527080f0, position: 273, content: 240721217
Node: 0x7f7d52708110, position: 451, content: 1806019493
Node: 0x7f7d52708130, position: 417, content: 1506884391
Node: 0x7f7d52708150, position: 285, content: 318109482
Node: 0x7f7d52708170, position: 369, content: 1051948716
Node: 0x7f7d52708190, position: 340, content: 734498324
Node: 0x7f7d527081b0, position: 323, content: 633522422
Node: 0x7f7d527081d0, position: 291, content: 353224937
Node: 0x7f7d527081f0, position: 400, content: 1379101346
Node: 0x7f7d52708210, position: 376, content: 1100862815
Node: 0x7f7d52708230, position: 45, content: -1798786182
Node: 0x7f7d52708250, position: 328, content: 659260529
Node: 0x7f7d52708270, position: 52, content: -1762377638
Node: 0x7f7d52708290, position: 383, content: 1218463267
Node: 0x7f7d527082b0, position: 393, content: 1303018106
Node: 0x7f7d527082d0, position: 405, content: 1433813475
Node: 0x7f7d527082f0, position: 150, content: -806624922
Node: 0x7f7d52708310, position: 83, content: -1429775846
Node: 0x7f7d52708330, position: 49, content: -1766967479
Node: 0x7f7d52708350, position: 183, content: -601815549
Node: 0x7f7d52708370, position: 75, content: -1512457302
Node: 0x7f7d52708390, position: 115, content: -1177882747
Node: 0x7f7d527083b0, position: 488, content: 2078091013
Node: 0x7f7d527083d0, position: 35, content: -1872822420
Node: 0x7f7d527083f0, position: 243, content: -85568136
Node: 0x7f7d52708410, position: 283, content: 295817708
Node: 0x7f7d52708430, position: 54, content: -1742523181
Node: 0x7f7d52708450, position: 327, content: 658158278
Node: 0x7f7d52708470, position: 267, content: 204595755
Node: 0x7f7d52708490, position: 119, content: -1157612121
Node: 0x7f7d527084b0, position: 48, content: -1767557022
Node: 0x7f7d527084d0, position: 249, content: -31601557
Node: 0x7f7d527084f0, position: 157, content: -747464421
Node: 0x7f7d52708510, position: 344, content: 839291133
Node: 0x7f7d52708530, position: 289, content: 349463616
Node: 0x7f7d52708550, position: 24, content: -1936071328
Node: 0x7f7d52708570, position: 154, content: -767744361
Node: 0x7f7d52708590, position: 67, content: -1627249581
Node: 0x7f7d527085b0, position: 102, content: -1230371331
Node: 0x7f7d527085d0, position: 324, content: 645396042
Node: 0x7f7d527085f0, position: 2, content: -2110271371
Node: 0x7f7d52708610, position: 136, content: -995664070
Node: 0x7f7d52708630, position: 59, content: -1702403620
Node: 0x7f7d52708650, position: 259, content: 118067330
Node: 0x7f7d52708670, position: 228, content: -200623504
Node: 0x7f7d52708690, position: 354, content: 915018970
Node: 0x7f7d527086b0, position: 46, content: -1777514950
Node: 0x7f7d527086d0, position: 322, content: 628788634
Node: 0x7f7d527086f0, position: 14, content: -1995264673
Node: 0x7f7d52708710, position: 452, content: 1808372730
Node: 0x7f7d52708730, position: 87, content: -1371768401
Node: 0x7f7d52708750, position: 279, content: 281375105
Node: 0x7f7d52708770, position: 371, content: 1078904230
Node: 0x7f7d52708790, position: 318, content: 588837321
Node: 0x7f7d527087b0, position: 343, content: 800191850
Node: 0x7f7d527087d0, position: 295, content: 385124701
Node: 0x7f7d527087f0, position: 188, content: -568405184
Node: 0x7f7d52708810, position: 101, content: -1239785360
Node: 0x7f7d52708830, position: 427, content: 1568720367
Node: 0x7f7d52708850, position: 419, content: 1509330627
Node: 0x7f7d52708870, position: 37, content: -1858060146
Node: 0x7f7d52708890, position: 487, content: 2076608360
Node: 0x7f7d527088b0, position: 72, content: -1561417182
Node: 0x7f7d527088d0, position: 215, content: -303819987
Node: 0x7f7d527088f0, position: 240, content: -106915874
Node: 0x7f7d52708910, position: 415, content: 1497753409
Node: 0x7f7d52708930, position: 218, content: -278274986
Node: 0x7f7d52708950, position: 364, content: 1000484254
Node: 0x7f7d52708970, position: 485, content: 2058445360
Node: 0x7f7d52708990, position: 292, content: 358094876
Node: 0x7f7d527089b0, position: 95, content: -1303990877
Node: 0x7f7d527089d0, position: 394, content: 1323488773
Node: 0x7f7d527089f0, position: 298, content: 427348120
Node: 0x7f7d52708a10, position: 264, content: 160705211
Node: 0x7f7d52708a30, position: 39, content: -1833425366
Node: 0x7f7d52708a50, position: 486, content: 2065912590
Node: 0x7f7d52708a70, position: 496, content: 2127413496
Node: 0x7f7d52708a90, position: 253, content: 21743812
Node: 0x7f7d52708ab0, position: 221, content: -260919108
Node: 0x7f7d52708ad0, position: 390, content: 1284798225
Node: 0x7f7d52708af0, position: 226, content: -212937567
Node: 0x7f7d52708b10, position: 175, content: -643793384
Node: 0x7f7d52708b30, position: 432, content: 1600738288
Node: 0x7f7d52708b50, position: 196, content: -483435988
Node: 0x7f7d52708b70, position: 99, content: -1253600997
Node: 0x7f7d52708b90, position: 278, content: 276544944
Node: 0x7f7d52708bb0, position: 437, content: 1660234059
Node: 0x7f7d52708bd0, position: 213, content: -310863783
Node: 0x7f7d52708bf0, position: 458, content: 1845709765
Node: 0x7f7d52708c10, position: 224, content: -231605408
Node: 0x7f7d52708c30, position: 31, content: -1893653358
Node: 0x7f7d52708c50, position: 10, content: -2074952048
Node: 0x7f7d52708c70, position: 294, content: 369169543
Node: 0x7f7d52708c90, position: 79, content: -1471748032
Node: 0x7f7d52708cb0, position: 303, content: 491880515
Node: 0x7f7d52708cd0, position: 91, content: -1328356611
Node: 0x7f7d52708cf0, position: 209, content: -349101304
Node: 0x7f7d52708d10, position: 375, content: 1097467256
Node: 0x7f7d52708d30, position: 26, content: -1927575638
Node: 0x7f7d52708d50, position: 462, content: 1873742496
Node: 0x7f7d52708d70, position: 280, content: 282748862
Node: 0x7f7d52708d90, position: 255, content: 57936048
Node: 0x7f7d52708db0, position: 168, content: -690558689
Node: 0x7f7d52708dd0, position: 305, content: 499330816
Node: 0x7f7d52708df0, position: 140, content: -919973037
Node: 0x7f7d52708e10, position: 187, content: -569854345
Node: 0x7f7d52708e30, position: 28, content: -1927112320
Node: 0x7f7d52708e50, position: 169, content: -671334326
Node: 0x7f7d52708e70, position: 370, content: 1069275959
Node: 0x7f7d52708e90, position: 457, content: 1845644556
Node: 0x7f7d52708eb0, position: 465, content: 1886958274
Node: 0x7f7d52708ed0, position: 25, content: -1933490781
Node: 0x7f7d52708ef0, position: 286, content: 319671535
Node: 0x7f7d52708f10, position: 212, content: -316607705
Node: 0x7f7d52708f30, position: 100, content: -1247534606
Node: 0x7f7d52708f50, position: 178, content: -613504088
Node: 0x7f7d52708f70, position: 15, content: -1994378433
Node: 0x7f7d52708f90, position: 246, content: -39336903
Node: 0x7f7d52708fb0, position: 302, content: 473136178
Node: 0x7f7d52708fd0, position: 17, content: -1981303535
Node: 0x7f7d52708ff0, position: 287, content: 326415951
Node: 0x7f7d52709010, position: 309, content: 518206464
Node: 0x7f7d52709030, position: 263, content: 159123800
Node: 0x7f7d52709050, position: 161, content: -726532743
Node: 0x7f7d52709070, position: 230, content: -187659931
Node: 0x7f7d52709090, position: 219, content: -271431649
Node: 0x7f7d527090b0, position: 498, content: 2132110023
Node: 0x7f7d527090d0, position: 21, content: -1947182377
Node: 0x7f7d527090f0, position: 129, content: -1074660710
Node: 0x7f7d52709110, position: 89, content: -1334907769
Node: 0x7f7d52709130, position: 223, content: -233640412
Node: 0x7f7d52709150, position: 329, content: 667633073
Node: 0x7f7d52709170, position: 490, content: 2089916952
Node: 0x7f7d52709190, position: 172, content: -663766153
Node: 0x7f7d527091b0, position: 105, content: -1218375088
Node: 0x7f7d527091d0, position: 65, content: -1636846182
Node: 0x7f7d527091f0, position: 334, content: 699152173
Node: 0x7f7d52709210, position: 207, content: -391091484
Node: 0x7f7d52709230, position: 199, content: -457210941
Node: 0x7f7d52709250, position: 418, content: 1508376099
Node: 0x7f7d52709270, position: 356, content: 925919230
Node: 0x7f7d52709290, position: 141, content: -901271290
Node: 0x7f7d527092b0, position: 19, content: -1960754763
Node: 0x7f7d527092d0, position: 77, content: -1502502323
Node: 0x7f7d527092f0, position: 40, content: -1824523036
Node: 0x7f7d52709310, position: 97, content: -1296967630
Node: 0x7f7d52709330, position: 108, content: -1211768650
Node: 0x7f7d52709350, position: 121, content: -1148727352
Node: 0x7f7d52709370, position: 81, content: -1456110302
Node: 0x7f7d52709390, position: 76, content: -1507109059
Node: 0x7f7d527093b0, position: 464, content: 1885119750
Node: 0x7f7d527093d0, position: 167, content: -701066566
Node: 0x7f7d527093f0, position: 186, content: -570285248
Node: 0x7f7d52709410, position: 147, content: -846022935
Node: 0x7f7d52709430, position: 171, content: -669168733
Node: 0x7f7d52709450, position: 242, content: -85607704
Node: 0x7f7d52709470, position: 481, content: 2008189039
Node: 0x7f7d52709490, position: 448, content: 1789255832
Node: 0x7f7d527094b0, position: 403, content: 1433253631
Node: 0x7f7d527094d0, position: 122, content: -1147311811
Node: 0x7f7d527094f0, position: 239, content: -125742961
Node: 0x7f7d52709510, position: 78, content: -1488982832
Node: 0x7f7d52709530, position: 47, content: -1768751549
Node: 0x7f7d52709550, position: 476, content: 1969379433
Node: 0x7f7d52709570, position: 153, content: -776216390
Node: 0x7f7d52709590, position: 247, content: -37158966
Node: 0x7f7d527095b0, position: 198, content: -457561023
Node: 0x7f7d527095d0, position: 12, content: -2052846287
Node: 0x7f7d527095f0, position: 104, content: -1225649989
Node: 0x7f7d52709610, position: 336, content: 711361834
Node: 0x7f7d52709630, position: 128, content: -1084095719
Node: 0x7f7d52709650, position: 107, content: -1212607230
Node: 0x7f7d52709670, position: 422, content: 1541757880
Node: 0x7f7d52709690, position: 455, content: 1833533651
Node: 0x7f7d527096b0, position: 90, content: -1330919195
Node: 0x7f7d527096d0, position: 271, content: 222680109
Node: 0x7f7d527096f0, position: 333, content: 696289150
Node: 0x7f7d52709710, position: 103, content: -1229092220
Node: 0x7f7d52709730, position: 359, content: 947157218
Node: 0x7f7d52709750, position: 189, content: -557588926
Node: 0x7f7d52709770, position: 391, content: 1287820687
Node: 0x7f7d52709790, position: 254, content: 30839855
Node: 0x7f7d527097b0, position: 220, content: -264605547
Node: 0x7f7d527097d0, position: 155, content: -763705293
Node: 0x7f7d527097f0, position: 368, content: 1050833141
Node: 0x7f7d52709810, position: 18, content: -1979594120
Node: 0x7f7d52709830, position: 282, content: 295649097
Node: 0x7f7d52709850, position: 194, content: -519093046
Node: 0x7f7d52709870, position: 22, content: -1946347974
Node: 0x7f7d52709890, position: 341, content: 735549112
Node: 0x7f7d527098b0, position: 111, content: -1201143270
Node: 0x7f7d527098d0, position: 112, content: -1191562449
Node: 0x7f7d527098f0, position: 453, content: 1808580040
Node: 0x7f7d52709910, position: 389, content: 1283921973
Node: 0x7f7d52709930, position: 461, content: 1854629722
Node: 0x7f7d52709950, position: 229, content: -197805779
Node: 0x7f7d52709970, position: 8, content: -2091439621
Node: 0x7f7d52709990, position: 163, content: -716408921
Node: 0x7f7d527099b0, position: 459, content: 1848532646
Node: 0x7f7d527099d0, position: 426, content: 1567631867
Node: 0x7f7d527099f0, position: 64, content: -1645904562
Node: 0x7f7d52709a10, position: 71, content: -1567638792
Node: 0x7f7d52709a30, position: 211, content: -327011955
Node: 0x7f7d52709a50, position: 466, content: 1897078593
Node: 0x7f7d52709a70, position: 345, content: 846175867
Node: 0x7f7d52709a90, position: 145, content: -877771062
Node: 0x7f7d52709ab0, position: 392, content: 1289223926
Node: 0x7f7d52709ad0, position: 180, content: -606776522
Node: 0x7f7d52709af0, position: 440, content: 1704877594
Node: 0x7f7d52709b10, position: 134, content: -1010721983
Node: 0x7f7d52709b30, position: 472, content: 1953309455
Node: 0x7f7d52709b50, position: 193, content: -519940079
Node: 0x7f7d52709b70, position: 200, content: -432994613
Node: 0x7f7d52709b90, position: 44, content: -1807434466
Node: 0x7f7d52709bb0, position: 127, content: -1085753474
Node: 0x7f7d52709bd0, position: 492, content: 2095088714
Node: 0x7f7d52709bf0, position: 315, content: 571953568
Node: 0x7f7d52709c10, position: 173, content: -659623698
Node: 0x7f7d52709c30, position: 170, content: -671164246
Node: 0x7f7d52709c50, position: 55, content: -1737222364

pb
pb
pb
ra
ra
ra
ra
ra
pb
ra
ra
pb
pb
pb
pb
pb
ra
pb
ra
pb
pb
pb
ra
ra
ra
pb
pb
pb
pb
ra
ra
pb
pb
ra
pb
ra
pb
pb
pb
pb
pb
pb
ra
pb
pb
pb
pb
ra
ra
pb
ra
pb
pb
pb
ra
ra
ra
ra
pb
ra
ra
pb
pb
pb
pb
pb
ra
ra
ra
ra
ra
ra
pb
pb
ra
pb
ra
pb
pb
pb
pb
pb
pb
pb
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
ra
ra
pb
pb
ra
pb
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
pb
